 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET ---testing_cyl_avg_2nmlatt                                            
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 FROM_FILE --- shape 
   2445 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 6.9500E-01 5.5627E-03 3.4977E-03 2.0679E-03  1.0705E-01 1.0000E+00 2.1717E-04     2
1.6736E-02 7.0000E-01 5.2639E-03 3.2728E-03 1.9938E-03  1.0551E-01 1.0000E+00 2.0980E-04     2
1.6736E-02 7.0500E-01 4.9828E-03 3.0622E-03 1.9231E-03  1.0399E-01 1.0000E+00 2.0274E-04     2
1.6736E-02 7.1000E-01 4.6935E-03 2.8404E-03 1.8554E-03  1.0251E-01 1.0000E+00 1.9597E-04     2
1.6736E-02 7.1500E-01 4.4292E-03 2.6404E-03 1.7909E-03  1.0106E-01 1.0000E+00 1.8951E-04     2
1.6736E-02 7.2000E-01 4.1878E-03 2.4604E-03 1.7294E-03  9.9645E-02 1.0000E+00 1.8332E-04     2
1.6736E-02 7.2500E-01 3.9675E-03 2.2987E-03 1.6707E-03  9.8256E-02 1.0000E+00 1.7740E-04     2
1.6736E-02 7.3000E-01 3.7667E-03 2.1538E-03 1.6146E-03  9.6896E-02 1.0000E+00 1.7174E-04     2
1.6736E-02 7.3500E-01 3.5836E-03 2.0242E-03 1.5610E-03  9.5564E-02 1.0000E+00 1.6631E-04     2
1.6736E-02 7.4000E-01 3.4170E-03 1.9087E-03 1.5098E-03  9.4259E-02 1.0000E+00 1.6112E-04     2
1.6736E-02 7.4500E-01 3.2654E-03 1.8061E-03 1.4608E-03  9.2982E-02 1.0000E+00 1.5613E-04     2
1.6736E-02 7.5000E-01 3.1277E-03 1.7152E-03 1.4139E-03  9.1730E-02 1.0000E+00 1.5135E-04     2
1.6736E-02 7.5500E-01 3.0029E-03 1.6352E-03 1.3690E-03  9.0502E-02 1.0000E+00 1.4676E-04     2
1.6736E-02 7.6000E-01 2.9340E-03 1.6089E-03 1.3264E-03  8.9301E-02 1.0000E+00 1.4240E-04     2
1.6736E-02 7.6500E-01 2.8785E-03 1.5942E-03 1.2856E-03  8.8123E-02 1.0000E+00 1.3821E-04     2
1.6736E-02 7.7000E-01 2.8241E-03 1.5791E-03 1.2463E-03  8.6969E-02 1.0000E+00 1.3418E-04     2
1.6736E-02 7.7500E-01 2.7710E-03 1.5636E-03 1.2086E-03  8.5836E-02 1.0000E+00 1.3029E-04     2
1.6736E-02 7.8000E-01 2.7190E-03 1.5479E-03 1.1724E-03  8.4726E-02 1.0000E+00 1.2655E-04     2
1.6736E-02 7.8500E-01 2.6681E-03 1.5319E-03 1.1375E-03  8.3637E-02 1.0000E+00 1.2294E-04     2
